iter	Passed	Remaining
0	150	150229
1	154	77320
2	159	53086
3	163	40830
4	170	33846
5	175	29105
6	180	25599
7	189	23531
8	196	21599
9	201	19923
10	206	18543
11	210	17350
12	215	16394
13	221	15571
14	225	14795
15	229	14133
16	234	13539
17	240	13101
18	245	12673
19	250	12277
20	258	12072
21	262	11679
22	268	11390
23	272	11075
24	277	10822
25	286	10719
26	291	10496
27	295	10267
28	299	10026
29	304	9835
30	307	9603
31	309	9350
32	310	9104
33	312	8886
34	314	8667
35	315	8457
36	318	8280
37	320	8117
38	323	7971
39	325	7807
40	327	7660
41	330	7533
42	333	7430
43	336	7313
44	338	7186
45	340	7056
46	343	6967
47	345	6847
48	347	6737
49	348	6624
50	350	6514
51	351	6407
52	353	6310
53	354	6217
54	356	6121
55	358	6035
56	360	5967
57	362	5882
58	363	5798
59	365	5722
60	366	5643
61	368	5570
62	369	5496
63	371	5431
64	374	5380
65	375	5314
66	376	5249
67	378	5187
68	380	5127
69	381	5067
70	382	5008
71	384	4952
72	386	4901
73	388	4858
74	389	4806
75	391	4757
76	392	4709
77	394	4660
78	395	4612
79	397	4566
80	399	4529
81	401	4492
82	402	4449
83	404	4407
84	405	4367
85	407	4327
86	408	4287
87	410	4249
88	411	4216
89	414	4187
90	415	4153
91	417	4121
92	418	4085
93	420	4051
94	421	4018
95	423	3986
96	424	3955
97	426	3925
98	428	3898
99	429	3869
100	431	3841
101	432	3811
102	434	3783
103	435	3755
104	437	3730
105	439	3706
106	442	3691
107	443	3666
108	445	3639
109	446	3613
110	448	3589
111	449	3564
112	450	3538
113	452	3515
114	454	3497
115	456	3477
116	457	3454
117	459	3431
118	460	3409
119	462	3388
120	463	3366
121	464	3346
122	466	3327
123	468	3309
124	470	3290
125	471	3270
126	472	3250
127	474	3231
128	475	3213
129	477	3194
130	478	3176
131	481	3163
132	482	3147
133	484	3129
134	485	3111
135	486	3093
136	488	3078
137	489	3060
138	491	3043
139	492	3027
140	495	3015
141	496	2999
142	497	2980
143	498	2966
144	500	2949
145	501	2934
146	503	2919
147	504	2904
148	506	2892
149	508	2880
150	509	2866
151	511	2852
152	512	2838
153	514	2824
154	516	2813
155	517	2800
156	519	2787
157	521	2779
158	523	2767
159	524	2754
160	526	2741
161	527	2727
162	528	2715
163	530	2702
164	531	2688
165	532	2677
166	547	2732
167	560	2774
168	562	2763
169	563	2751
170	565	2740
171	566	2726
172	567	2715
173	569	2701
174	570	2690
175	575	2695
176	579	2693
177	580	2680
178	582	2671
179	584	2661
180	586	2651
181	587	2640
182	588	2629
183	590	2619
184	592	2609
185	593	2596
186	593	2582
187	595	2571
188	596	2561
189	598	2553
190	600	2543
191	601	2532
192	602	2519
193	603	2507
194	604	2495
195	606	2486
196	607	2476
197	608	2465
198	610	2456
199	613	2454
200	614	2444
201	615	2432
202	617	2422
203	618	2411
204	619	2402
205	620	2393
206	621	2381
207	623	2372
208	625	2366
209	626	2356
210	627	2345
211	628	2337
212	629	2326
213	630	2317
214	632	2308
215	633	2298
216	633	2287
217	635	2279
218	635	2268
219	636	2258
220	638	2251
221	640	2245
222	641	2235
223	643	2227
224	644	2220
225	645	2210
226	646	2200
227	646	2190
228	648	2182
229	649	2175
230	651	2167
231	652	2160
232	654	2153
233	654	2144
234	656	2136
235	657	2127
236	658	2119
237	659	2111
238	660	2102
239	661	2093
240	661	2083
241	663	2077
242	665	2074
243	666	2065
244	668	2059
245	669	2050
246	670	2045
247	671	2036
248	672	2029
249	673	2021
250	674	2013
251	676	2009
252	678	2002
253	679	1996
254	681	1990
255	682	1982
256	682	1974
257	684	1968
258	685	1960
259	686	1954
260	687	1946
261	688	1940
262	689	1933
263	692	1930
264	694	1925
265	695	1919
266	697	1913
267	698	1907
268	699	1900
269	700	1893
270	701	1886
271	702	1880
272	704	1876
273	705	1870
274	707	1864
275	708	1858
276	709	1851
277	710	1844
278	710	1837
279	712	1831
280	712	1824
281	713	1817
282	715	1813
283	717	1809
284	719	1805
285	720	1799
286	722	1794
287	723	1787
288	723	1780
289	725	1775
290	726	1770
291	728	1765
292	729	1761
293	732	1757
294	733	1753
295	734	1746
296	735	1740
297	736	1735
298	738	1730
299	738	1724
300	740	1719
301	741	1714
302	743	1710
303	745	1707
304	747	1702
305	748	1697
306	749	1692
307	751	1688
308	753	1684
309	754	1679
310	756	1674
311	758	1672
312	760	1669
313	761	1664
314	763	1659
315	764	1655
316	766	1651
317	767	1646
318	769	1642
319	771	1638
320	773	1635
321	774	1630
322	775	1626
323	777	1622
324	779	1618
325	780	1614
326	782	1609
327	784	1606
328	786	1603
329	787	1599
330	789	1594
331	790	1590
332	792	1587
333	795	1586
334	798	1585
335	800	1582
336	802	1579
337	804	1575
338	805	1571
339	807	1567
340	809	1563
341	810	1559
342	812	1556
343	814	1553
344	816	1549
345	817	1545
346	819	1541
347	820	1537
348	822	1533
349	823	1529
350	825	1526
351	827	1523
352	829	1519
353	830	1515
354	832	1512
355	834	1508
356	836	1505
357	837	1502
358	839	1499
359	841	1495
360	842	1491
361	844	1488
362	845	1484
363	847	1480
364	848	1476
365	850	1472
366	851	1468
367	854	1466
368	855	1463
369	857	1459
370	858	1456
371	860	1452
372	861	1448
373	863	1445
374	864	1441
375	866	1437
376	868	1435
377	869	1431
378	871	1427
379	872	1423
380	874	1420
381	875	1416
382	877	1412
383	878	1409
384	879	1405
385	882	1403
386	883	1399
387	885	1395
388	886	1392
389	887	1388
390	889	1385
391	890	1381
392	891	1377
393	894	1375
394	896	1372
395	897	1369
396	899	1365
397	900	1362
398	901	1358
399	903	1354
400	904	1351
401	906	1347
402	907	1344
403	910	1342
404	911	1339
405	913	1336
406	914	1332
407	916	1330
408	918	1326
409	919	1323
410	924	1325
411	926	1321
412	927	1318
413	929	1316
414	931	1313
415	933	1310
416	942	1317
417	945	1316
418	947	1314
419	949	1311
420	952	1309
421	954	1306
422	955	1303
423	957	1300
424	959	1298
425	962	1296
426	965	1296
427	968	1293
428	969	1290
429	971	1287
430	973	1285
431	976	1283
432	980	1284
433	983	1282
434	984	1279
435	986	1276
436	988	1273
437	990	1270
438	994	1270
