iter	RMSE
0	14.02988323
1	13.92674578
2	13.83075585
3	13.7554511
4	13.66400964
5	13.57477148
6	13.51308827
7	13.4502745
8	13.3681614
9	13.31644393
10	13.25032103
11	13.18298706
12	13.12093582
13	13.07273329
14	13.01351395
15	12.96319557
16	12.9087079
17	12.87069012
18	12.81713372
19	12.77554989
20	12.73076581
21	12.69707426
22	12.65628872
23	12.62375814
24	12.60363877
25	12.58051866
26	12.55392287
27	12.52068738
28	12.50154933
29	12.4683749
30	12.44436519
31	12.4145173
32	12.3898743
33	12.36803782
34	12.34489459
35	12.32501561
36	12.31258769
37	12.29357844
38	12.27030311
39	12.25012495
40	12.23410831
41	12.21308935
42	12.19323953
43	12.17881906
44	12.16139927
45	12.1444768
46	12.12920664
47	12.12137708
48	12.10571683
49	12.09057866
50	12.07487895
51	12.06624715
52	12.06186796
53	12.0485264
54	12.03329821
55	12.0217288
56	12.01156255
57	11.99813171
58	11.98525587
59	11.97506757
60	11.97172686
61	11.96089531
62	11.94943904
63	11.94323152
64	11.93746362
65	11.92848909
66	11.91835527
67	11.9065775
68	11.89717202
69	11.88923852
70	11.88245024
71	11.87722591
72	11.8674097
73	11.85811972
74	11.85630144
75	11.84979075
76	11.84480818
77	11.8349308
78	11.83045376
79	11.82387392
80	11.82324548
81	11.82134478
82	11.81529843
83	11.81023035
84	11.80822465
85	11.80162258
86	11.79777394
87	11.78864181
88	11.78807848
89	11.78096698
90	11.77840341
91	11.77823382
92	11.77216958
93	11.7715264
94	11.7645212
95	11.75572707
96	11.749333
97	11.74904077
98	11.74307471
99	11.73588076
100	11.73129401
101	11.7265602
102	11.71989826
103	11.71677335
104	11.7099159
105	11.70463079
106	11.70107397
107	11.69954202
108	11.69826568
109	11.69562748
110	11.69291988
111	11.69233967
112	11.68681562
113	11.68331418
114	11.67707718
115	11.6767941
116	11.67511759
117	11.67312957
118	11.67126483
119	11.66662815
120	11.66527929
121	11.6646782
122	11.65999924
123	11.65795106
124	11.65351265
125	11.64783788
126	11.64473186
127	11.64427373
128	11.64249549
129	11.64187274
